num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos,teeth_ang
1,PC3903,,2001,B,SB,17,56.35,F,5,5,Olafsdrattur,GOJfall20_max_PC3903_02.JPG,CFAC_20_MAX_PC3903_02.JPG,11.75,21.25,9,17.5,5.5,10.5,28.4429286
2,PC3904,,2002,B,SB,12.9,28.22,F,5,4,Olafsdrattur,GOJfall20_max_PC3904_02.JPG,CFAC_20_MAX_PC3904_02.JPG,11,19.25,8.5,15.25,5,12.5,49.7636417
3,PC3905,,2003,B,SB,14.9,30.98,F,2,5,Olafsdrattur,GOJfall20_max_PC3905_02.JPG,CFAC_20_MAX_PC3905_02.JPG,12.75,20.5,7.75,18,4,11.5,55.7842979
4,PC3906,,2004,B,SB,13.7,28,F,2,7,Olafsdrattur,GOJfall20_max_PC3906_02.JPG,CFAC_20_MAX_PC3906_02.JPG,14.5,24.25,8.25,14,5,13.5,53.6156482
5,PC3907,,2005,B,SB,15,33.2,F,2,5,Olafsdrattur,GOJfall20_max_PC3907_02.JPG,CFAC_20_MAX_PC3907_02.JPG,12.75,22.75,8.25,15.5,1,12,60.9453959
6,PC3908,,2006,B,SB,15.2,35.16,F,2,6,Olafsdrattur,GOJfall20_max_PC3908_02.JPG,CFAC_20_MAX_PC3908_02.JPG,13.25,17.5,6.75,15,4.5,9.5,63.4349488
7,PC3909,,2007,B,SB,13.5,22.81,M,5,4,Olafsdrattur,GOJfall20_max_PC3909_02.JPG,CFAC_20_MAX_PC3909_02.JPG,13.25,20.5,8,16.5,6,12,45
8,PC3910,,2008,B,SB,13,24.5,M,4,6,Olafsdrattur,GOJfall20_max_PC3910_02.JPG,CFAC_20_MAX_PC3910_02.JPG,13,24,7.25,16.75,4,13,41.8201699
9,PC3911,,2009,B,SB,14.2,27.55,F,7/2?,4,Olafsdrattur,GOJfall20_max_PC3911_02.JPG,CFAC_20_MAX_PC3911_02.JPG,13,18.75,7.5,15,3,12,NA
10,PC3912,,2010,B,SB,16.2,41.6,F,2,7,Olafsdrattur,GOJfall20_max_PC3912_02.JPG,CFAC_20_MAX_PC3912_02.JPG,14,19,8,17,3.5,15,60.524111
11,PC3913,,2011,B,SB,12.9,24.26,M,6,4,Olafsdrattur,GOJfall20_max_PC3913_02.JPG,CFAC_20_MAX_PC3913_02.JPG,11,18.75,7,16.75,5,8,51.009006
12,PC3914,,2012,B,SB,15.9,45.37,F,5,NA,Olafsdrattur,GOJfall20_max_PC3914_02.JPG,CFAC_20_MAX_PC3914_02.JPG,13.75,21.25,8.25,17.5,6,12,54.4623222
13,PC3915,,2013,B,SB,13.7,26.47,M,6,5,Olafsdrattur,GOJfall20_max_PC3915_02.JPG,CFAC_20_MAX_PC3915_02.JPG,14.25,20.75,8,16,5,12.5,50.9061411
14,PC3916,,2014,B,SB,13.9,27.19,M,6,4,Olafsdrattur,GOJfall20_max_PC3916_02.JPG,CFAC_20_MAX_PC3916_02.JPG,13,18.5,6.5,17.25,3,10.5,52.3057595
15,PC3917,,2015,B,SB,14.7,35.24,M,6,4,Olafsdrattur,GOJfall20_max_PC3917_02.JPG,CFAC_20_MAX_PC3917_02.JPG,14,20.25,8,16.5,3,12,59.4207731
16,PC3918,,2016,B,SB,14.8,35.5,M,5/6?,5,Olafsdrattur,GOJfall20_max_PC3918_02.JPG,CFAC_20_MAX_PC3918_02.JPG,13.5,19.75,8.25,15.5,4.5,10,62.4471884
17,PC3919,,2017,B,SB,14.5,31.49,F,7/2?,5,Olafsdrattur,GOJfall20_max_PC3919_02.JPG,CFAC_20_MAX_PC3919_02.JPG,12,18,6,16,4.5,NA,55.6196553
18,PC3920,,2018,B,SB,15.8,40.13,F,6,7,Olafsdrattur,GOJfall20_max_PC3920_02.JPG,CFAC_20_MAX_PC3920_02.JPG,13.25,19,9.5,14.25,3,10.5,NA
19,PC3921,,2019,B,SB,11.2,16,F,1/2?,3,Olafsdrattur,GOJfall20_max_PC3921_02.JPG,CFAC_20_MAX_PC3921_02.JPG,11.25,18.75,7.25,12,NA,10.5,45
20,PC3922,,2020,B,SB,14.8,21.2,M,6,4,Olafsdrattur,GOJfall20_max_PC3922_02.JPG,CFAC_20_MAX_PC3922_02.JPG,13.25,19,8,16.5,6.5,12,62.3540246
21,PC3923,,2021,B,SB,13.9,27.7,M,6,4,Olafsdrattur,GOJfall20_max_PC3923_02.JPG,CFAC_20_MAX_PC3923_02.JPG,11.75,18.25,7.25,15.25,2,14,32.0053832
22,PC3924,,2022,B,SB,13.6,26.44,M,6,6,Olafsdrattur,GOJfall20_max_PC3924_02.JPG,CFAC_20_MAX_PC3924_02.JPG,10.75,19.5,7.75,15.75,2.5,11,52.3057595
23,PC3925,,2023,B,SB,14.8,31.05,F,7/2?,5,Olafsdrattur,GOJfall20_max_PC3925_02.JPG,CFAC_20_MAX_PC3925_02.JPG,12.25,15.5,8,15,5,12,54.1623471
24,PC3926,,2024,B,SB,13.7,25.66,M,7,5,Olafsdrattur,GOJfall20_max_PC3926_02.JPG,CFAC_20_MAX_PC3926_02.JPG,13.5,19.25,7.75,16.5,3,10.5,45
25,PC3927,,2025,B,SB,13.3,28.1,M,5,6,Olafsdrattur,GOJfall20_max_PC3927_02.JPG,CFAC_20_MAX_PC3927_02.JPG,12.5,18.5,7,16.25,2,10,49.7636417
26,PC3928,,2026,B,SB,12,18.5,F,1/2?,4,Olafsdrattur,GOJfall20_max_PC3928_02.JPG,CFAC_20_MAX_PC3928_02.JPG,12.5,21.5,7.5,13.25,4,NA,NA
27,PC3929,,2027,B,SB,13.3,26.92,M,5,5,Olafsdrattur,GOJfall20_max_PC3929_02.JPG,CFAC_20_MAX_PC3929_02.JPG,12.5,20.5,9.25,17,7,12,53.8418146
28,PC3930,,2028,B,SB,13.28,27.2,F,7/2?,4,Olafsdrattur,GOJfall20_max_PC3930_02.JPG,CFAC_20_MAX_PC3930_02.JPG,12,18.5,7,15,3.5,12,NA
29,PC3931,,2029,B,SB,11.8,16.33,F,2,5,Olafsdrattur,GOJfall20_max_PC3931_02.JPG,CFAC_20_MAX_PC3931_02.JPG,12.25,19.25,6.5,13.75,3,11.5,51.8427734
30,PC3932,,2030,B,SB,11.5,15.13,M,5,5,Olafsdrattur,GOJfall20_max_PC3932_02.JPG,CFAC_20_MAX_PC3932_02.JPG,12,17.5,8,15.25,NA,10.5,NA
31,PC3933,,2031,B,SB,10.8,13.32,M,6,NA,Olafsdrattur,GOJfall20_max_PC3933_02.JPG,CFAC_20_MAX_PC3933_02.JPG,11.5,19,6,14.5,4,12,NA
32,PC3934,,2032,B,SB,11.1,14.32,M,5,4,Olafsdrattur,GOJfall20_max_PC3934_02.JPG,CFAC_20_MAX_PC3934_02.JPG,10.75,17.75,7,14.25,3,14,54.4623222
33,PC3935,,2033,B,SB,10.4,11.87,M,1/2?,4,Olafsdrattur,GOJfall20_max_PC3935_02.JPG,CFAC_20_MAX_PC3935_02.JPG,10.5,20,7,15,1,12,59.5344551
34,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes,GOJfall20_max_PC4301_02.JPG,CFAC_20_MAX_PC4301_02.JPG,17.5,22.25,7.75,18.25,9,11.5,NA
35,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes,GOJfall20_max_PC4302_02.JPG,CFAC_20_MAX_PC4302_02.JPG,17.5,21.5,6.5,19.75,7,12,NA
36,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes,GOJfall20_max_PC4303_02.JPG,CFAC_20_MAX_PC4303_02.JPG,16.5,22,7.25,17,5,11,37.8749837
37,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes,GOJfall20_max_PC4305_02.JPG,CFAC_20_MAX_PC4305_02.JPG,14.5,22.5,6,18.75,5,13,52.431408
38,PC4306,,2187,B,LB,34.2,550,M,7,6,Mjoanes,GOJfall20_max_PC4306_02.JPG,CFAC_20_MAX_PC4306_02.JPG,13.25,20,5.75,14.75,2,11,50.1944289
39,PC4307,,2188,B,LB,50,1000,M,7,8,Mjoanes,GOJfall20_max_PC4307_02.JPG,CFAC_20_MAX_PC4307_02.JPG,12.75,20.5,6.5,17.25,4.5,11,36.4692344
40,PC3831,KBL1,,B,LB,42.5,1061,F,2,8,Ofugsnaði,GOJfall20_max_PC3831_02.JPG,CFAC_20_MAX_PC3831_02.JPG,11.25,21,7,18.25,4,11.5,48.0940581
41,PC3834,M3,,B,PL,15.6,37,M,4,5,Ofugsnaði,GOJfall20_max_PC3834_02.JPG,CFAC_20_MAX_PC3834_02.JPG,13.25,19.5,7.75,12.25,5,12.5,NA
42,PC3839,SBL2,,B,PI,42.8,1131,M,4,9,Ofugsnaði,GOJfall20_max_PC3839_02.JPG,CFAC_20_MAX_PC3839_02.JPG,17.75,23.75,8,19.5,7.5,13,50.1021653
43,PC3840,KBL8,,B,LB,37.1,672,M,4,7,Ofugsnaði,GOJfall20_max_PC3840_02.JPG,CFAC_20_MAX_PC3840_02.JPG,13.25,20,6.5,13.75,5,11,32.1957339
44,PC3841,SBL4,,B,PI,49.5,1714,M,4,9,Ofugsnaði,GOJfall20_max_PC3841_02.JPG,CFAC_20_MAX_PC3841_02.JPG,21,22.75,8.5,20,8,13.5,33.3540258
45,PC3842,KBL10,,B,LB,42,1010,M,4,8,Ofugsnaði,GOJfall20_max_PC3842_02.JPG,CFAC_20_MAX_PC3842_02.JPG,19.5,24.25,8.5,17,6,13.5,53.1301024
46,PC3843,KBL11,,B,LB,40.7,815,M,6,9,Ofugsnaði,GOJfall20_max_PC3843_02.JPG,CFAC_20_MAX_PC3843_02.JPG,17.25,24.5,7.25,16.5,5,10,25.132955
47,PC3844,KBL12,,B,LB,34.7,504,M,4,7,Ofugsnaði,GOJfall20_max_PC3844_02.JPG,CFAC_20_MAX_PC3844_02.JPG,12,19.5,6,15,6,10,47.4195092
48,PC3845,SBL6,,B,PI,46.9,1455,M,6,11,Ofugsnaði,GOJfall20_max_PC3845_02.JPG,CFAC_20_MAX_PC3845_02.JPG,17.75,23.75,8.25,23,6,13,45.4373639
49,PC3846,SBL7,,B,PI,43,990,M,6,9,Ofugsnaði,GOJfall20_max_PC3846_02.JPG,CFAC_20_MAX_PC3846_02.JPG,NA,19.75,7.75,18.5,5,14.5,29.8270847
50,PC3847,SBL9,,B,PI,36.7,655,M,5,8,Ofugsnaði,GOJfall20_max_PC3847_02.JPG,CFAC_20_MAX_PC3847_02.JPG,16.75,22.75,7.5,17.75,5,12,45.6295986
51,PC3848,SBL8,,B,PI,41.2,1001,M,6,9,Ofugsnaði,GOJfall20_max_PC3848_02.JPG,CFAC_20_MAX_PC3848_02.JPG,16,21.25,6.5,18.25,4.5,9,35.1120112
52,PC3849,KBL14,,B,LB,33.8,362,F,7.2,7,Ofugsnaði,GOJfall20_max_PC3849_02.JPG,CFAC_20_MAX_PC3849_02.JPG,15.25,25.25,7.5,17.5,4.5,13.5,36.3474582
53,PC3851,M6,,B,PL,22.3,130,M,5,9,Ofugsnaði,GOJfall20_max_PC3851_02.JPG,CFAC_20_MAX_PC3851_02.JPG,18.25,21.25,8.25,20,4,13,46.0809242
54,PC3855,M8,,B,PL,19.4,74,M,4,5,Ofugsnaði,GOJfall20_max_PC3855_02.JPG,CFAC_20_MAX_PC3855_02.JPG,15.5,19,7.5,17,4,10,34.3803447
55,PC3859,M12,,B,PL,14.8,36,M,4,5,Ofugsnaði,GOJfall20_max_PC3859_02.JPG,CFAC_20_MAX_PC3859_02.JPG,14.25,19.75,7.5,16,2,12.5,28.0724869
56,PC3863,M17,,B,PL,14,33,M,4,4,Ofugsnaði,GOJfall20_max_PC3863_02.JPG,CFAC_20_MAX_PC3863_02.JPG,13.75,19.5,8,16.25,3.5,11.5,29.3577535
57,PC3864,SBL10,,B,PI,45,1078,M,6,9,Ofugsnaði,GOJfall20_max_PC3864_02.JPG,CFAC_20_MAX_PC3864_02.JPG,20.25,22.25,7.75,19.75,5,12,45
58,PC3865,SBL11,,B,PI,24.5,162,M,6,7,Ofugsnaði,GOJfall20_max_PC3865_02.JPG,CFAC_20_MAX_PC3865_02.JPG,18,20.25,8.25,19,4.5,12,41.3477772
59,PC3867,KBL16,,B,LB,24.5,145,F,7.2,NA,Ofugsnaði,GOJfall20_max_PC3867_02.JPG,CFAC_20_MAX_PC3867_02.JPG,14.75,24,8.5,17.25,7,11.5,57.1714582
60,PC3868,KBL17,,B,LB,34.2,430,F,7.2,6,Ofugsnaði,GOJfall20_max_PC3868_02.JPG,CFAC_20_MAX_PC3868_02.JPG,16.5,21.25,7,19,3,10,47.1210964
61,PC3870,M21,,B,PL,20.5,81,F,5,7,Ofugsnaði,GOJfall20_max_PC3870_02.JPG,CFAC_20_MAX_PC3870_02.JPG,17,18.5,7.75,19.5,5,11.5,22.2490237
62,PC3873,M27,,B,PL,18.5,65,M,4,5,Ofugsnaði,GOJfall20_max_PC3873_02.JPG,CFAC_20_MAX_PC3873_02.JPG,16.5,19,6,16.75,6.5,13,27.6459754
63,PC3875,M29,,B,PL,21,103,M,4,5,Ofugsnaði,GOJfall20_max_PC3875_02.JPG,CFAC_20_MAX_PC3875_02.JPG,15.75,20.5,7.5,16.25,4,13,33.111342
64,PC3876,M30,,B,PL,18.8,74,F,5,5,Ofugsnaði,GOJfall20_max_PC3876_02.JPG,CFAC_20_MAX_PC3876_02.JPG,14.75,18.75,8,14.5,4,12.5,53.9726266
65,PC3885,M31,,B,PL,19.1,72,M,6,5,Ofugsnaði,GOJfall20_max_PC3885_02.JPG,CFAC_20_MAX_PC3885_02.JPG,15.75,20.5,6.5,15.66666667,3,12,37.568592
66,PC3896,SBL14,,B,PI,32.8,420,M,6,7,Ofugsnaði,GOJfall20_max_PC3896_02.JPG,CFAC_20_MAX_PC3896_02.JPG,18.25,21.25,8,17,5,13,33.0238676
67,PC3898,SBL16,,B,PI,45.6,1246,M,6,10,Ofugsnaði,GOJfall20_max_PC3898_02.JPG,CFAC_20_MAX_PC3898_02.JPG,19,23.25,8.5,20,7,13,48.5322946
68,PC3899,KBL22,,B,LB,48.7,1420,F,6,9,Ofugsnaði,GOJfall20_max_PC3899_02.JPG,CFAC_20_MAX_PC3899_02.JPG,17,24,10,19,5,12,NA
69,PC3900,SBL18,,B,PI,42.3,1091,F,5,8,Ofugsnaði,GOJfall20_max_PC3900_02.JPG,CFAC_20_MAX_PC3900_02.JPG,18,23,7.5,18.5,7,14,49.6354634
70,PC3901,SBL19,,B,PI,32.6,396,M,6,8,Ofugsnaði,GOJfall20_max_PC3901_02.JPG,CFAC_20_MAX_PC3901_02.JPG,14.75,24.5,8.5,17.5,5,11.5,43.4925642
71,PC3902,SBL21,,B,PI,57.3,2894,M,5,10,Ofugsnaði,GOJfall20_max_PC3902_02.JPG,CFAC_20_MAX_PC3902_02.JPG,16.5,24.75,7,19.5,5,12,NA
72,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes,GOJfall20_max_PC4200_02.JPG,CFAC_20_MAX_PC4200_02.JPG,14.5,19,7.5,15,3,12.5,28.3007558
73,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes,GOJfall20_max_PC4201_02.JPG,CFAC_20_MAX_PC4201_02.JPG,15.75,21,7.75,16.75,4,13,33.6900675
74,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes,GOJfall20_max_PC4202_02.JPG,CFAC_20_MAX_PC4202_02.JPG,12.5,19.75,8.25,16.25,NA,10,25.0168935
75,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes,GOJfall20_max_PC4203_02.JPG,CFAC_20_MAX_PC4203_02.JPG,14.25,20.25,7.75,15.25,6.5,12.5,19.4400348
76,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes,GOJfall20_max_PC4204_02.JPG,CFAC_20_MAX_PC4204_02.JPG,15.75,19.5,7.5,20.25,6,12,47.1210964
77,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes,GOJfall20_max_PC4205_02.JPG,CFAC_20_MAX_PC4205_02.JPG,14,19.5,8,14,4,12.5,14.0362435
78,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes,GOJfall20_max_PC4206_02.JPG,CFAC_20_MAX_PC4206_02.JPG,12.25,17.5,8.25,17.25,3,13,26.5650512
79,PC4207,,,B,PL,13.6,29.32,M,6,4,Svinnanes,GOJfall20_max_PC4207_02.JPG,CFAC_20_MAX_PC4207_02.JPG,13,16.75,7.5,14,NA,12.5,NA
80,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes,GOJfall20_max_PC4208_02.JPG,CFAC_20_MAX_PC4208_02.JPG,15,20.5,7.75,15,3.5,12.5,29.3577535
81,PC4209,,,B,PL,14,30.39,M,6,NA,Svinnanes,GOJfall20_max_PC4209_02.JPG,CFAC_20_MAX_PC4209_02.JPG,14,18.5,6.5,15.25,NA,11,NA
82,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes,GOJfall20_max_PC4210_02.JPG,CFAC_20_MAX_PC4210_02.JPG,14.5,17.75,6,15.25,1,12,36.2538377
83,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes,GOJfall20_max_PC4211_02.JPG,CFAC_20_MAX_PC4211_02.JPG,13.25,15,7.25,14,5,11,23.6293777
84,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes,GOJfall20_max_PC4212_02.JPG,CFAC_20_MAX_PC4212_02.JPG,15.25,18.75,8.25,17.25,3,13,33.6900675
85,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes,GOJfall20_max_PC4213_02.JPG,CFAC_20_MAX_PC4213_02.JPG,14,18.25,7.25,15.5,3,12,23.6293777
86,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes,GOJfall20_max_PC4214_02.JPG,CFAC_20_MAX_PC4214_02.JPG,13,18,6.75,15,3,13,36.8698977
87,PC4215,,,B,PL,17,51.2,M,6,5,Svinnanes,GOJfall20_max_PC4215_02.JPG,CFAC_20_MAX_PC4215_02.JPG,16,21.25,6.5,16,3.5,11.5,NA
88,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes,GOJfall20_max_PC4216_02.JPG,CFAC_20_MAX_PC4216_02.JPG,14.75,18.25,7,17,5.5,12.5,36.2538377
89,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes,GOJfall20_max_PC4217_02.JPG,CFAC_20_MAX_PC4217_02.JPG,14.5,18.5,6,14.75,4.5,12,25.0168935
90,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes,GOJfall20_max_PC4218_02.JPG,CFAC_20_MAX_PC4218_02.JPG,16,18.75,7,14.75,NA,12,6.3401917
91,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes,GOJfall20_max_PC4219_02.JPG,CFAC_20_MAX_PC4219_02.JPG,12,15.75,6.25,13.5,4,8.5,76.7594801
92,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes,GOJfall20_max_PC4220_02.JPG,CFAC_20_MAX_PC4220_02.JPG,12,16.75,6.25,15,4,10,53.6156482
93,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes,GOJfall20_max_PC4221_02.JPG,CFAC_20_MAX_PC4221_02.JPG,14,22.25,7.5,16.75,5,11.5,47.385944
94,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes,GOJfall20_max_PC4222_02.JPG,CFAC_20_MAX_PC4222_02.JPG,13,19.5,7,15.75,5,11,47.1210964
95,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes,GOJfall20_max_PC4223_02.JPG,CFAC_20_MAX_PC4223_02.JPG,13.25,17.75,7.75,15.5,4,9,52.1250164
96,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes,GOJfall20_max_PC4225_02.JPG,CFAC_20_MAX_PC4225_02.JPG,13.75,18.5,7.5,19.75,4,12.5,62.3540246
97,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes,GOJfall20_max_PC4226_02.JPG,CFAC_20_MAX_PC4226_02.JPG,12.75,15,7,13.75,3,12,55.491477
98,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes,GOJfall20_max_PC4227_02.JPG,CFAC_20_MAX_PC4227_02.JPG,15,20,8,15.5,5,11,52.1250164
99,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes,GOJfall20_max_PC4228_02.JPG,CFAC_20_MAX_PC4228_02.JPG,13.25,18,8.25,15.5,4,10,54.0902769
100,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes,GOJfall20_max_PC4229_02.JPG,CFAC_20_MAX_PC4229_02.JPG,12.25,17,7,14,2.5,11,56.3099325
101,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes,GOJfall20_max_PC4230_02.JPG,CFAC_20_MAX_PC4230_02.JPG,12,19,7,14.75,2,10.5,46.5481577
102,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes,GOJfall20_max_PC4231_02.JPG,CFAC_20_MAX_PC4231_02.JPG,12.75,15.5,6.75,15.25,2,11,NA
103,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes,GOJfall20_max_PC4232_02.JPG,CFAC_20_MAX_PC4232_02.JPG,13.75,16.5,8,14.5,4,11,48.6522228
104,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes,GOJfall20_max_PC4233_02.JPG,CFAC_20_MAX_PC4233_02.JPG,12.5,15,7.5,15,2,9.5,NA
105,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes,GOJfall20_max_PC4235_02.JPG,CFAC_20_MAX_PC4235_02.JPG,13,17.5,7.75,16,4,12,NA
106,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes,GOJfall20_max_PC4236_02.JPG,CFAC_20_MAX_PC4236_02.JPG,18.5,23,9,17.25,2,13.5,NA
107,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes,GOJfall20_max_PC4237_02.JPG,CFAC_20_MAX_PC4237_02.JPG,19.5,25,7.5,21,6.5,15,39.2256741
108,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes,GOJfall20_max_PC4238_02.JPG,CFAC_20_MAX_PC4238_02.JPG,19,23,8,17,7,11.5,41.5106751
109,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes,GOJfall20_max_PC4239_02.JPG,CFAC_20_MAX_PC4239_02.JPG,13.5,20.5,7,17.25,5,11,37.8749837
110,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes,GOJfall20_max_PC4240_02.JPG,CFAC_20_MAX_PC4240_02.JPG,16.25,18.75,7.25,15.5,5.5,11,50.1944289
111,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes,GOJfall20_max_PC4241_02.JPG,CFAC_20_MAX_PC4241_02.JPG,15.25,18.25,8.25,16,4.5,12.5,10.6196553
112,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes,GOJfall20_max_PC4242_02.JPG,CFAC_20_MAX_PC4242_02.JPG,16.75,23.25,7,19,5.5,13,42.3574547
113,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes,GOJfall20_max_PC4243_02.JPG,CFAC_20_MAX_PC4243_02.JPG,16.75,21.75,8,18.5,5.5,14.5,46.4441255
114,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes,GOJfall20_max_PC4244_02.JPG,CFAC_20_MAX_PC4244_02.JPG,14,21,7.75,19.25,5.5,10,NA
115,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes,GOJfall20_max_PC4245_02.JPG,CFAC_20_MAX_PC4245_02.JPG,16,25,8.75,15.25,NA,14.5,57.8477049
116,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes,GOJfall20_max_PC4246_02.JPG,CFAC_20_MAX_PC4246_02.JPG,15.25,18.5,8.25,15.5,5,11.5,52.765166
117,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes,GOJfall20_max_PC4247_02.JPG,CFAC_20_MAX_PC4247_02.JPG,16,18.75,7.25,20,5,13,NA
118,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes,GOJfall20_max_PC4248_02.JPG,CFAC_20_MAX_PC4248_02.JPG,16.5,17.5,7.25,17.25,4.5,12,NA
